file_name,emotion,intensity,gender,statement,duration
03-01-06-01-02-02-02,fearful,normal,female,Dogs are sitting by the door,3.7370625
03-01-05-01-02-01-16,angry,normal,female,Dogs are sitting by the door,3.9038958333333333
03-01-08-01-01-01-14,surprised,normal,female,Kids are talking by the door,3.636979166666667
03-01-06-01-02-02-16,fearful,normal,female,Dogs are sitting by the door,3.5702291666666666
03-01-05-01-02-01-02,angry,normal,female,Dogs are sitting by the door,3.7704166666666667
03-01-01-01-02-02-06,neutral,normal,female,Dogs are sitting by the door,3.4367708333333336
03-01-02-01-02-01-12,calm,normal,female,Dogs are sitting by the door,3.7704375
03-01-01-01-02-02-12,neutral,normal,female,Dogs are sitting by the door,3.636979166666667
03-01-02-01-02-01-06,calm,normal,female,Dogs are sitting by the door,3.970625
03-01-02-02-01-01-06,calm,strong,female,Kids are talking by the door,4.5045
03-01-02-02-01-01-12,calm,strong,female,Kids are talking by the door,3.970625
03-01-06-02-01-02-16,fearful,strong,female,Kids are talking by the door,3.7370625
03-01-05-02-01-01-02,angry,strong,female,Kids are talking by the door,3.9039166666666665
03-01-08-02-02-01-14,surprised,strong,female,Dogs are sitting by the door,3.703708333333333
03-01-06-02-01-02-02,fearful,strong,female,Kids are talking by the door,3.636979166666667
03-01-05-02-01-01-16,angry,strong,female,Kids are talking by the door,3.970645833333333
03-01-05-01-01-01-22,angry,normal,female,Kids are talking by the door,3.703708333333333
03-01-08-01-02-01-20,surprised,normal,female,Dogs are sitting by the door,3.1364791666666667
03-01-06-01-01-02-22,fearful,normal,female,Kids are talking by the door,3.6036041666666665
03-01-08-01-02-01-08,surprised,normal,female,Dogs are sitting by the door,3.7704375
03-01-08-02-01-01-08,surprised,strong,female,Kids are talking by the door,3.8371666666666666
03-01-06-02-02-02-22,fearful,strong,female,Dogs are sitting by the door,3.6036041666666665
03-01-08-02-01-01-20,surprised,strong,female,Kids are talking by the door,3.7370625
03-01-05-02-02-01-22,angry,strong,female,Dogs are sitting by the door,4.237583333333333
03-01-03-01-01-02-06,happy,normal,female,Kids are talking by the door,3.6036041666666665
03-01-03-01-01-02-12,happy,normal,female,Kids are talking by the door,3.7370625
03-01-04-01-01-02-02,sad,normal,female,Kids are talking by the door,3.7704375
03-01-07-01-01-01-16,disgust,normal,female,Kids are talking by the door,3.7704375
03-01-04-01-01-02-16,sad,normal,female,Kids are talking by the door,3.6369583333333333
03-01-07-01-01-01-02,disgust,normal,female,Kids are talking by the door,3.6703333333333332
03-01-04-02-02-02-16,sad,strong,female,Dogs are sitting by the door,3.7370625
03-01-07-02-02-01-02,disgust,strong,female,Dogs are sitting by the door,4.004
03-01-04-02-02-02-02,sad,strong,female,Dogs are sitting by the door,3.6703333333333332
03-01-07-02-02-01-16,disgust,strong,female,Dogs are sitting by the door,4.137458333333333
03-01-03-02-02-02-12,happy,strong,female,Dogs are sitting by the door,3.970625
03-01-03-02-02-02-06,happy,strong,female,Dogs are sitting by the door,3.6035833333333334
03-01-07-01-02-01-22,disgust,normal,female,Dogs are sitting by the door,3.8037916666666667
03-01-04-01-02-02-22,sad,normal,female,Dogs are sitting by the door,3.703708333333333
03-01-04-02-01-02-22,sad,strong,female,Kids are talking by the door,3.636979166666667
03-01-07-02-01-01-22,disgust,strong,female,Kids are talking by the door,4.2375625
03-01-07-02-01-01-23,disgust,strong,male,Kids are talking by the door,4.070729166666666
03-01-04-02-01-02-23,sad,strong,male,Kids are talking by the door,4.371020833333334
03-01-04-01-02-02-23,sad,normal,male,Dogs are sitting by the door,3.6703333333333332
03-01-07-01-02-01-23,disgust,normal,male,Dogs are sitting by the door,3.470125
03-01-03-02-02-02-07,happy,strong,male,Dogs are sitting by the door,3.8371666666666666
03-01-03-02-02-02-13,happy,strong,male,Dogs are sitting by the door,3.3366666666666664
03-01-07-02-02-01-17,disgust,strong,male,Dogs are sitting by the door,4.471145833333333
03-01-04-02-02-02-03,sad,strong,male,Dogs are sitting by the door,3.7036875
03-01-07-02-02-01-03,disgust,strong,male,Dogs are sitting by the door,3.8371666666666666
03-01-04-02-02-02-17,sad,strong,male,Dogs are sitting by the door,3.5702291666666666
03-01-07-01-01-01-03,disgust,normal,male,Kids are talking by the door,4.037375
03-01-04-01-01-02-17,sad,normal,male,Kids are talking by the door,3.5035
03-01-07-01-01-01-17,disgust,normal,male,Kids are talking by the door,3.8371666666666666
03-01-04-01-01-02-03,sad,normal,male,Kids are talking by the door,3.5702291666666666
03-01-03-01-01-02-13,happy,normal,male,Kids are talking by the door,3.2032083333333334
03-01-03-01-01-02-07,happy,normal,male,Kids are talking by the door,3.470125
03-01-05-02-02-01-23,angry,strong,male,Dogs are sitting by the door,3.2365625
03-01-06-02-02-02-23,fearful,strong,male,Dogs are sitting by the door,3.536875
03-01-08-02-01-01-21,surprised,strong,male,Kids are talking by the door,3.6369583333333333
03-01-08-02-01-01-09,surprised,strong,male,Kids are talking by the door,3.3032916666666665
03-01-08-01-02-01-09,surprised,normal,male,Dogs are sitting by the door,3.4367708333333336
03-01-08-01-02-01-21,surprised,normal,male,Dogs are sitting by the door,3.4701458333333335
03-01-06-01-01-02-23,fearful,normal,male,Kids are talking by the door,3.2365625
03-01-05-01-01-01-23,angry,normal,male,Kids are talking by the door,3.3033125
03-01-08-02-02-01-01,surprised,strong,male,Dogs are sitting by the door,3.5035
03-01-05-02-01-01-17,angry,strong,male,Kids are talking by the door,3.5035
03-01-06-02-01-02-03,fearful,strong,male,Kids are talking by the door,3.9038958333333333
03-01-05-02-01-01-03,angry,strong,male,Kids are talking by the door,4.404395833333333
