file_name,emotion,intensity,gender,statement,duration,augmentation
03-01-05-01-02-01-16,angry,normal,female,Dogs are sitting by the door,3.903895833333334,original
03-01-08-01-01-01-14,surprised,normal,female,Kids are talking by the door,3.636979166666667,original
03-01-05-01-02-01-02,angry,normal,female,Dogs are sitting by the door,3.7704166666666663,original
03-01-02-01-02-01-12,calm,normal,female,Dogs are sitting by the door,3.7704375,original
03-01-02-01-02-01-06,calm,normal,female,Dogs are sitting by the door,3.970625,original
03-01-02-02-01-01-06,calm,strong,female,Kids are talking by the door,4.5045,original
03-01-02-02-01-01-12,calm,strong,female,Kids are talking by the door,3.970625,original
03-01-05-02-01-01-02,angry,strong,female,Kids are talking by the door,3.9039166666666665,original
03-01-08-02-02-01-14,surprised,strong,female,Dogs are sitting by the door,3.703708333333333,original
03-01-05-02-01-01-16,angry,strong,female,Kids are talking by the door,3.970645833333333,original
03-01-05-01-01-01-22,angry,normal,female,Kids are talking by the door,3.703708333333333,original
03-01-08-01-02-01-20,surprised,normal,female,Dogs are sitting by the door,3.1364791666666667,original
03-01-08-01-02-01-08,surprised,normal,female,Dogs are sitting by the door,3.7704375,original
03-01-08-02-01-01-08,surprised,strong,female,Kids are talking by the door,3.8371666666666666,original
03-01-08-02-01-01-20,surprised,strong,female,Kids are talking by the door,3.7370625,original
03-01-05-02-02-01-22,angry,strong,female,Dogs are sitting by the door,4.237583333333333,original
03-01-07-01-01-01-16,disgust,normal,female,Kids are talking by the door,3.7704375,original
03-01-07-01-01-01-02,disgust,normal,female,Kids are talking by the door,3.670333333333333,original
03-01-07-02-02-01-02,disgust,strong,female,Dogs are sitting by the door,4.004,original
03-01-07-02-02-01-16,disgust,strong,female,Dogs are sitting by the door,4.137458333333333,original
03-01-07-01-02-01-22,disgust,normal,female,Dogs are sitting by the door,3.8037916666666662,original
03-01-07-02-01-01-22,disgust,strong,female,Kids are talking by the door,4.2375625,original
03-01-07-02-01-01-23,disgust,strong,male,Kids are talking by the door,4.070729166666666,original
03-01-07-01-02-01-23,disgust,normal,male,Dogs are sitting by the door,3.470125,original
03-01-07-02-02-01-17,disgust,strong,male,Dogs are sitting by the door,4.471145833333333,original
03-01-07-02-02-01-03,disgust,strong,male,Dogs are sitting by the door,3.8371666666666666,original
03-01-07-01-01-01-03,disgust,normal,male,Kids are talking by the door,4.037375,original
03-01-07-01-01-01-17,disgust,normal,male,Kids are talking by the door,3.8371666666666666,original
03-01-05-02-02-01-23,angry,strong,male,Dogs are sitting by the door,3.2365625,original
03-01-08-02-01-01-21,surprised,strong,male,Kids are talking by the door,3.6369583333333337,original
03-01-08-02-01-01-09,surprised,strong,male,Kids are talking by the door,3.3032916666666665,original
03-01-08-01-02-01-09,surprised,normal,male,Dogs are sitting by the door,3.4367708333333336,original
03-01-08-01-02-01-21,surprised,normal,male,Dogs are sitting by the door,3.4701458333333335,original
03-01-05-01-01-01-23,angry,normal,male,Kids are talking by the door,3.3033125,original
